,target,ids
133,성별,1368798405162528769
134,성별,1368925539105304577
135,성별,1421484649809813506
136,인종/국가,1268432505767464960
137,성정체성/성적지향,1367103992694599682
138,성별,1369083473500065799
139,성별,1368934837432713217
140,인종/국가,1266817762913116163
141,인종/국가,1267527729143898112
142,인종/국가,1266204095838392323
143,성별,1421339241787707394
144,인종/국가,1381378886295035906
145,성별,1368721321404755973
146,성별,1368790517459210240
147,성별,1421461253713629184
148,성별,1421310760311922688
149,인종/국가,1381388248157667329
150,인종/국가,1267523128822951938
151,인종/국가,1372317568183062529
152,인종/국가,1381379970233106432
153,인종/국가,1324209009285455872
154,성별,1368835193868488706
155,성별,1368878400585281537
156,성별,1368771859781541895
157,성별,1421321771416883201
158,성별,1421338775918055428
159,성별,1421353234371813380
160,인종/국가,1268431703954960385
161,성별,1368808410934771721
162,인종/국가,1381277496188997637
163,인종/국가,1381392334445682691
164,인종/국가,1381421965353705474
165,인종/국가,1267590041888415745
166,인종/국가,1267727599586828290
167,성별,1368524328158003201
168,성별,1368752646375403521
169,성별,1368910451820560388
170,성별,1421362538919325697
171,성별,1421373787866427397
172,성별,1421336955598434307
173,성별,1368582278465482757
174,인종/국가,1381326315802873856
175,성별,1421398803454873606
176,인종/국가,1372316953268817923
177,인종/국가,1268433504334786560
178,성정체성/성적지향,1367081551838650373
179,성별,1368826369174425600
180,성별,1368966387855552513
181,성별,1420953433348055043
182,성정체성/성적지향,1347701918341087232
183,성별,1368787120303706113
184,성별,1368719175405871104
185,인종/국가,1381277874066489344
186,성정체성/성적지향,1367165911891730432
187,성별,1421695351258423299
188,성정체성/성적지향,1367093277086736387
189,성정체성/성적지향,1367092281547743242
190,인종/국가,1381335091281080320
191,인종/국가,1267024563289767937
192,성정체성/성적지향,1377102562696912904
193,성별,1368777580552151042
194,성별,1368773630415446019
195,성별,1421334758781509633
196,인종/국가,1381369578006007808
197,인종/국가,1381475625051975685
198,성정체성/성적지향,1369503768769826824
199,성정체성/성적지향,1367087647437459466
200,성별,1368782590858076167
201,성별,1421339005841379328
202,성별,1421354123140558851
203,인종/국가,1267548739935203328
204,성별,1421481524365447168
205,성별,1421340705016881152
206,인종/국가,1381390934949044225
207,성정체성/성적지향,1367115100532793346
208,성정체성/성적지향,1367094444789440517
209,성정체성/성적지향,1367096860171595777
210,성별,1368681008908754951
211,성별,1368791183065976834
212,인종/국가,1291996209662406657
213,성별,1368585326147465219
214,성별,1421402810751406084
215,성별,1421320054797258754
216,성별,1421340179936120835
217,인종/국가,1381408956153618432
218,성정체성/성적지향,1367094261863227397
219,성별,1368923502191992845
220,성별,1368611606838439939
221,성별,1421456527546748932
222,성별,1420947441776431108
223,인종/국가,1265992596096081921
224,성별,1368771863313190921
225,성별,1368757433963741187
226,성별,1368758756465537030
227,성별,1368839192340480004
228,성별,1368763806369812480
229,성별,1421389987333902340
230,인종/국가,1381443125818757120
231,인종/국가,1292318556407750656
232,인종/국가,1268425050581094400
233,인종/국가,1266991691946315776
234,인종/국가,1268435228252495872
235,성별,1368696440139120647
236,성별,1368804956136898560
237,인종/국가,1372315320149372928
238,인종/국가,1381280076050747392
239,인종/국가,1267538412526907392
240,인종/국가,1266815133650571266
241,인종/국가,1267400768841121800
242,인종/국가,1291847564120059904
243,성정체성/성적지향,1367278921016692738
244,성별,1368812678907453441
245,성별,1421373486514130946
246,인종/국가,1374051987843477507
247,인종/국가,1381389750532120578
248,인종/국가,1381390635639300098
249,인종/국가,1267834251384197121
250,인종/국가,1268433915699761152
251,인종/국가,1267697715560853506
252,인종/국가,1291939353686466560
253,성별,1368852406881054723
254,성별,1420709726707359749
255,인종/국가,1268428106974388224
256,인종/국가,1267400981404246016
257,인종/국가,1268429417287520257
258,인종/국가,1266932612376875010
259,성정체성/성적지향,1367086901522432002
260,성정체성/성적지향,1367092831324499974
261,성별,1368934691928121347
262,성별,1368914848365514754
263,성별,1368738750067449857
264,성별,1368892739966799874
265,성별,1421334392329277440
266,성별,1421392600913694721
267,성별,1421356098506825731
268,성별,1421339603307417605
269,인종/국가,1372311037769224198
270,인종/국가,1267595566428549121
271,인종/국가,1268455209057112065
272,인종/국가,1267541760130965504
273,성정체성/성적지향,1367167752583090176
274,성별,1368761059490729989
275,성별,1368905909125017602
276,성별,1368872452307124230
277,성별,1421481965845311496
278,인종/국가,1303899079341035523
279,성정체성/성적지향,1367086753996152832
280,성정체성/성적지향,1367124288868806658
281,성정체성/성적지향,1367091827434610690
282,성별,1369081500860227584
283,성별,1368808235885502467
284,성별,1368830859185319936
285,성별,1421350775184183301
286,성별,1421339164788756480
287,성별,1421396597561122817
288,성별,1420708772637331461
289,인종/국가,1268501078082912256
290,인종/국가,1268426675613827072
291,인종/국가,1266051124873879553
292,성별,1368601079504539652
293,성별,1368831432789958659
294,성별,1368728266203303936
295,성별,1421377112892530689
296,성별,1421349932481400832
297,인종/국가,1381386065760546816
298,인종/국가,1381738473145524226
299,인종/국가,1381461933392490496
300,인종/국가,1405115968339156992
301,인종/국가,1268058658010656768
302,인종/국가,1269518870336823296
303,성정체성/성적지향,1346793918323589121
304,성정체성/성적지향,1367096573046362112
305,성별,1368604312041975808
306,성별,1368800416494850050
307,성별,1368705522958958592
308,성별,1368582238833500160
309,성별,1368846546481991683
310,성별,1421480398874300422
311,성별,1421459810977865728
312,성별,1421458504368279553
313,인종/국가,1381425023521419265
314,인종/국가,1381421418991087616
315,인종/국가,1381409080762241026
316,인종/국가,1381860417408888833
317,인종/국가,1382355525745004551
318,인종/국가,1267581905253228544
319,인종/국가,1268442654066401281
320,인종/국가,1272157298564034560
321,인종/국가,1268426550271193099
322,인종/국가,1266176545929850880
323,성정체성/성적지향,1393949942159450113
324,성정체성/성적지향,1367129553647198210
325,성정체성/성적지향,1367380367846481921
326,성정체성/성적지향,1367080554764509188
327,성정체성/성적지향,1367108126856663046
328,성정체성/성적지향,1367113203591704576
329,성별,1368897053674205189
330,성별,1368732016288538625
331,성별,1368737000161824771
332,성별,1368598841855909892
333,성별,1368934850921590786
334,성별,1421386725121658882
335,성별,1421333670850306048
336,인종/국가,1372322600722915329
337,인종/국가,1381205293435092992
338,인종/국가,1268178380421074944
339,인종/국가,1268442818931916801
340,인종/국가,1268037543141838849
341,인종/국가,1291696864786489344
342,성정체성/성적지향,1367764518445608960
343,성정체성/성적지향,1367395248435982342
344,성정체성/성적지향,1367089939830112256
345,성별,1368910513598386176
346,성별,1368933639069655042
347,성별,1368580367733592073
348,성별,1368723877073854465
349,성별,1368700242795790336
350,성별,1368588734409535494
351,성별,1368800093478920196
352,성별,1368693909040230402
353,성별,1368809967294189571
354,성별,1421411835333398530
355,성별,1421378782477230084
356,인종/국가,1324209979574767621
357,인종/국가,1268425426986102785
358,성정체성/성적지향,1367139811056877570
359,성정체성/성적지향,1367135576667811848
360,성정체성/성적지향,1367092196093034501
361,성정체성/성적지향,1367159861130059783
362,성별,1368805409226596353
363,성별,1368715343309410309
364,성별,1368853115290542081
365,성별,1368812432810856448
366,성별,1368591656606306306
367,성별,1368607620769009666
368,성별,1368896525812699142
369,성별,1368596087372615682
370,성별,1368581735693254668
371,성별,1368838705574596608
372,성별,1368939318920716288
373,성별,1421363202772717570
374,인종/국가,1381317778070720526
375,인종/국가,1381418012037718017
376,인종/국가,1268428110036217857
377,인종/국가,1268470302914129925
378,인종/국가,1268429774717726720
379,인종/국가,1269805706661654529
380,인종/국가,1267569072075468800
381,인종/국가,1268157662706806785
382,인종/국가,1267694623415136256
383,성정체성/성적지향,1367113294545186818
384,성정체성/성적지향,1445954648209121280
385,성정체성/성적지향,1367082817117511691
386,성별,1368586655305670662
387,성별,1368798592312381445
388,성별,1368786772365172739
389,성별,1368705188702253058
390,성별,1368706618402033666
391,성별,1421343274141241345
392,성별,1421335275880390656
393,인종/국가,1381392096599412740
394,인종/국가,1381402423223197697
395,인종/국가,1267486285997895682
396,인종/국가,1267694401993601025
397,인종/국가,1292959107230494720
398,인종/국가,1268446375676526594
399,인종/국가,1291937024295886849
400,인종/국가,1291705517421674497
401,성정체성/성적지향,1367109808034177026
402,성정체성/성적지향,1367302398029426688
403,성정체성/성적지향,1367098572533981191
404,성정체성/성적지향,1367089428896702467
405,성별,1368710725691080704
406,성별,1368721056668643330
407,성별,1367817642271154180
408,성별,1368803204763328513
409,성별,1368888211351597059
410,성별,1368783132778848261
411,성별,1368844365938847744
412,성별,1368953115538427908
413,성별,1368592105623330817
414,성별,1368772386917548033
415,성별,1368582358618664963
416,성별,1368596175432024079
417,성별,1368757511101181960
418,성별,1368845362752974848
419,성별,1368757128010158082
420,성별,1368851501393739776
421,성별,1421457012194365445
422,성별,1421462226691526658
423,성별,1421350788966731778
424,성별,1421363507186987013
425,성별,1421388320752373760
426,성별,1421341221520244736
427,성별,1421319343577526275
428,성별,1420705482180755457
429,인종/국가,1372312419150667776
430,인종/국가,1372290307920781312
431,인종/국가,1372323338073174022
432,인종/국가,1373538001939165188
433,인종/국가,1415867454811635715
434,인종/국가,1269931512809418752
435,인종/국가,1265926362159775744
436,인종/국가,1291812813753610245
437,성정체성/성적지향,1367124964197822464
438,성정체성/성적지향,1367666407085772803
439,성정체성/성적지향,1367162214923210757
440,성정체성/성적지향,1367126697871429633
441,성별,1368735362022076417
442,성별,1368690051228389376
443,성별,1368809352266543105
444,성별,1368798379497549824
445,성별,1368809763585236995
446,성별,1368767287679807490
447,성별,1368588018580299785
448,성별,1368718978881708032
449,성별,1368590872414089216
450,성별,1368706803110834177
451,성별,1369937356032122883
452,성별,1368811982690734080
453,성별,1368808228612501508
454,성별,1421370867481677828
455,성별,1421460268987473921
456,성별,1421457507046682627
457,성별,1421336828523675658
458,성별,1421390213352357890
459,성별,1421318704155959296
460,성별,1421386504379662336
461,인종/국가,1381295873758400512
462,인종/국가,1381338291010641921
463,인종/국가,1381721986154463232
464,인종/국가,1381409556127879168
465,인종/국가,1381800070148857860
466,인종/국가,1267568505387233280
467,인종/국가,1269283082701402113
468,인종/국가,1269402355142967303
469,인종/국가,1268484600420065283
470,인종/국가,1267484124958257152
471,인종/국가,1267582997793890305
472,인종/국가,1268450230040555520
473,인종/국가,1268462394172268545
474,인종/국가,1291707574635569165
475,인종/국가,1268424768530726913
476,성정체성/성적지향,1367321432116490241
477,성정체성/성적지향,1367122386881974274
478,성정체성/성적지향,1367090963093417987
479,성정체성/성적지향,1367414614909100032
480,성별,1368764743276658690
481,성별,1368933591518900228
482,성별,1368781094846226437
483,성별,1368798615171297281
484,성별,1368816372742955011
485,성별,1368577564277628931
486,성별,1368851224821256195
487,성별,1368740733981585408
488,성별,1368787648152662018
489,성별,1368757748729401345
490,성별,1368770648328179712
491,성별,1368745783655206914
492,성별,1368619543468281858
493,성별,1368901879296454658
494,성별,1421460359001616390
495,성별,1421317882118512646
496,성별,1421360866784464898
497,성별,1421414638671974410
498,성별,1421389750422802436
499,성별,1421395931107315713
500,성별,1421430014373892098
501,성별,1421314171333791744
502,인종/국가,1372321201209495560
503,인종/국가,1381407549891641349
504,인종/국가,1415868828156792835
505,인종/국가,1268213826547302401
506,인종/국가,1267027473083977728
507,인종/국가,1265977898269151232
508,인종/국가,1292776693476651013
509,인종/국가,1267872446910287873
510,인종/국가,1270019232806268929
511,인종/국가,1267727591177252864
512,인종/국가,1267998900671008768
513,인종/국가,1282940779703537665
514,성정체성/성적지향,1443460094310510595
515,성정체성/성적지향,1367082006429933568
516,성정체성/성적지향,1367080707177074689
517,성정체성/성적지향,1377708957288947712
518,성정체성/성적지향,1367157047146385413
519,성정체성/성적지향,1367257658617589760
520,성별,1368700925037080577
521,성별,1368827886447202305
522,성별,1368601948639821824
523,성별,1367780706844250113
524,성별,1368773886536343555
525,성별,1368591274744324100
526,성별,1368779643700998145
527,성별,1368580119699234818
528,성별,1368841557516951552
529,성별,1368884046319652869
530,성별,1368793781659561984
531,성별,1368859473633247232
532,성별,1368751785209327616
533,성별,1368777105983508482
534,성별,1368855705822916611
535,성별,1368582020897501187
536,성별,1368775853937618948
537,성별,1421456292183478275
538,성별,1421469500130529289
539,성별,1421329564148531200
540,성별,1421463496022130692
541,성별,1421329468891688963
542,성별,1421411598288097283
543,성별,1421482469929279495
544,성별,1420700677240614912
545,성별,1420950775044341761
546,인종/국가,1372318263074385920
547,인종/국가,1381377810829295617
548,인종/국가,1381358718160355328
549,인종/국가,1381409947318054912
550,인종/국가,1381443765886361601
551,인종/국가,1381725455800172548
552,인종/국가,1381421208059531269
553,인종/국가,1267521650683072513
554,인종/국가,1267571889943179264
555,인종/국가,1267003173165625344
556,인종/국가,1266972263334600704
557,인종/국가,1266036403458068485
558,인종/국가,1266977451713851470
559,인종/국가,1271074980239831043
560,인종/국가,1267683603875389441
561,인종/국가,1292069154963337216
562,인종/국가,1268427890237927424
563,인종/국가,1267591270425260032
564,인종/국가,1267706395186458625
565,인종/국가,1267529116644868107
566,인종/국가,1291739601627779073
567,인종/국가,1291692798710751233
568,성정체성/성적지향,1367121252037496834
569,성정체성/성적지향,1376141954149273602
570,성정체성/성적지향,1377163598808506370
571,성정체성/성적지향,1377254717764431878
572,성정체성/성적지향,1367088847767568385
573,성정체성/성적지향,1367135251735015426
574,성정체성/성적지향,1367142169534889994
575,성별,1368780387871166464
576,성별,1368849717111652352
577,성별,1368816058027503616
578,성별,1369580586491244544
579,성별,1368874802677567488
580,성별,1368794118558679040
581,성별,1368596835829358595
582,성별,1368792949115351046
583,성별,1368802224835416064
584,성별,1368774340997652481
585,성별,1368807881932345346
586,성별,1368742597657694208
587,성별,1368773367642255361
588,성별,1368692819175505922
589,성별,1368779267715133444
590,성별,1368610036512030724
591,성별,1368582937101402115
592,성별,1368819085526507520
593,성별,1368734980411592708
594,성별,1368835761416466435
595,성별,1368590233638379533
596,성별,1368711403629015045
597,성별,1368612048976838660
598,성별,1368741336766025728
599,성별,1368577939248353285
600,성별,1368699885340348416
601,성별,1368897240731967494
602,성별,1368828876411969537
603,성별,1368603590445596673
604,성별,1421446712204300291
605,성별,1421345524343623680
606,성별,1421352169135951884
607,성별,1421475243911041028
608,성별,1421338317740642308
609,성별,1421338193954103297
610,성별,1421359499294625796
611,성별,1421385800416071680
612,성별,1420697186786897924
613,성별,1421333250459410434
614,성별,1421335296596004867
615,인종/국가,1372297929159970816
616,인종/국가,1372322330706288641
617,인종/국가,1374196615850815490
618,인종/국가,1381388473349808130
619,인종/국가,1381394952236625925
620,인종/국가,1381414243958845443
621,인종/국가,1267707035992219648
622,인종/국가,1268429074994618369
623,인종/국가,1268429647986843649
624,인종/국가,1267484914833747975
625,인종/국가,1267469440225914886
626,인종/국가,1268427836160798727
627,인종/국가,1267917523690729472
628,인종/국가,1291901258412855296
629,인종/국가,1268464439658872833
630,인종/국가,1268427691352449024
631,인종/국가,1266740880863453184
632,인종/국가,1268424535075729410
633,인종/국가,1267680867893129218
634,인종/국가,1267745941194506241
635,인종/국가,1292061684937322496
636,인종/국가,1291721540296306689
637,인종/국가,1291883578645598208
638,인종/국가,1266221503445495808
639,성정체성/성적지향,1367246761341775874
640,성정체성/성적지향,1367099067113697285
641,성정체성/성적지향,1367253516616568834
642,성정체성/성적지향,1367109004430774274
643,성정체성/성적지향,1367768031565287430
644,성정체성/성적지향,1367100715819167754
645,성정체성/성적지향,1367120429421240321
646,성정체성/성적지향,1367089371988389892
647,성정체성/성적지향,1367137380558274561
648,성별,1368582430081261569
649,성별,1368743927612776448
650,성별,1368856229615960065
651,성별,1368806401913462788
652,성별,1368748887226294277
653,성별,1368812914665132033
654,성별,1368715586297995264
655,성별,1368579002248491015
656,성별,1368586485583077378
657,성별,1368740301309841410
658,성별,1368789637842362373
659,성별,1368744604548222976
660,성별,1369296357601710083
661,성별,1368587154864021505
662,성별,1368769380780179456
663,성별,1368891827810496517
664,성별,1368726357065170946
665,성별,1368811495555878913
666,성별,1368809699190054912
667,성별,1368856081510850562
668,성별,1368735033058422791
669,성별,1368758693949403137
670,성별,1368648039645126656
671,성별,1368579721760440325
672,성별,1368600451210350592
673,성별,1368756219658215428
674,성별,1368591213717188608
675,성별,1368878523029598212
676,성별,1368584279307948034
677,성별,1421360542594129920
678,성별,1421457986245914624
679,성별,1421396525482004481
680,성별,1421459250937614338
681,성별,1421457927882170371
682,성별,1421407080708288514
683,성별,1421335118292025344
684,성별,1421389470780170240
685,성별,1421378423293841411
686,성별,1421332284938985472
687,성별,1421456857063858176
688,성별,1421315827513520132
689,인종/국가,1372303363824447488
690,인종/국가,1381386062371549184
691,인종/국가,1381391418229288966
692,인종/국가,1381392529065664513
693,인종/국가,1381382495501873153
694,인종/국가,1381371474620030976
695,인종/국가,1381416082313908228
696,인종/국가,1381598609976619009
697,인종/국가,1381421700491845634
698,인종/국가,1381418313402568707
699,인종/국가,1381703350903693314
700,인종/국가,1381420061479428102
701,인종/국가,1381657788972105729
702,인종/국가,1381476206600626176
703,인종/국가,1381414974619181057
704,인종/국가,1405524775464685568
705,인종/국가,1267700662491471872
706,인종/국가,1267579760529387521
707,인종/국가,1267575897541885952
708,인종/국가,1267533656630812672
709,인종/국가,1267588025594200064
710,인종/국가,1267606261861769217
711,인종/국가,1267546215618674690
712,인종/국가,1267600820473745408
713,인종/국가,1267700999025643521
714,인종/국가,1266990184316325888
715,인종/국가,1267310752857088001
716,인종/국가,1291882062606000130
717,인종/국가,1292020644817731584
718,인종/국가,1340046379301814272
719,인종/국가,1292016136788291584
720,인종/국가,1292122600617807874
721,인종/국가,1291732165244227585
722,인종/국가,1268483864298569730
723,인종/국가,1268429163125338112
724,인종/국가,1267591129525977088
725,인종/국가,1268106092615106561
726,인종/국가,1268449384032661504
727,인종/국가,1269139650339201024
728,인종/국가,1267706944858451968
729,인종/국가,1291810970319429635
730,인종/국가,1291770501849739265
731,인종/국가,1268426057960394753
732,성정체성/성적지향,1367092371859496962
733,성정체성/성적지향,1367285778716323840
734,성정체성/성적지향,1376944174017081345
735,성정체성/성적지향,1367094389231611908
736,성정체성/성적지향,1367117055653072903
737,성정체성/성적지향,1367088664090583040
738,성정체성/성적지향,1367111938241486851
739,성정체성/성적지향,1367236648010870784
740,성정체성/성적지향,1367303773601767431
741,성정체성/성적지향,1367138458225963010
742,성정체성/성적지향,1367093772048211968
743,성정체성/성적지향,1367092078233100291
744,성별,1368837429231190017
745,성별,1368807239423692801
746,성별,1368816602569789441
747,성별,1368721258892849152
748,성별,1368752759982354437
749,성별,1368707535146942464
750,성별,1368821582827679752
751,성별,1368669741389258752
752,성별,1368944953733181441
753,성별,1368846485165539330
754,성별,1368760702299607044
755,성별,1368742635670663171
756,성별,1368884190385606662
757,성별,1368726629824962560
758,성별,1368995065738199040
759,성별,1369580587862790144
760,성별,1368590882786529282
761,성별,1368713865727381504
762,성별,1368597719531462658
763,성별,1368776371837628421
764,성별,1368687998972227586
765,성별,1368785651655602180
766,성별,1368728144404869121
767,성별,1368815614031138820
768,성별,1368616429264666626
769,성별,1368584098730504197
770,성별,1368585809318670345
771,성별,1368882672936878084
772,성별,1368715263680540673
773,성별,1368942279763714051
774,성별,1368970616901169158
775,성별,1368764021923450886
776,성별,1368887748174643200
777,성별,1421357455905148930
778,성별,1421333414939029510
779,성별,1421390291815190529
780,성별,1421326337805934595
781,성별,1421375044798713862
782,성별,1421332072317165570
783,성별,1421350534435405825
784,성별,1421332167884296193
785,성별,1421457666719641602
786,성별,1421368297799393280
787,성별,1421360270614482947
788,성별,1421353087147536386
789,성별,1421460518112436225
790,성별,1421359586255114242
791,성별,1421396593031356418
792,성별,1421453958120312833
793,성별,1421356876265000960
794,성별,1421332339121025025
795,성별,1421346851110805504
796,성별,1421534071545466880
797,성별,1421358206115221506
798,성별,1421343432451129344
799,성별,1421319555134070787
800,성별,1421313363951243265
801,성별,1421355891970822148
802,성별,1421359981459214345
803,인종/국가,1372313788511256576
804,인종/국가,1372279955036508161
805,인종/국가,1372298206046920707
806,인종/국가,1372658531799683077
807,인종/국가,1372856703813783553
808,인종/국가,1381393466417061890
809,인종/국가,1381234623368196099
810,인종/국가,1381461479782637568
811,인종/국가,1381418097207246850
812,인종/국가,1381428677678821376
813,인종/국가,1381412047368425473
814,인종/국가,1381473677120708609
815,인종/국가,1405147137269067777
816,인종/국가,1405180143623184384
817,인종/국가,1405532647250567180
818,인종/국가,1267712531847495680
819,인종/국가,1267692607372529665
820,인종/국가,1267697329391366144
821,인종/국가,1268448001296461824
822,인종/국가,1266340223631278080
823,인종/국가,1269131359601094656
824,인종/국가,1268442343209709575
825,인종/국가,1266905280383578112
826,인종/국가,1268435583640023040
827,인종/국가,1268425490533986305
828,인종/국가,1268180625284042752
829,인종/국가,1292273534287323136
830,인종/국가,1291971362358038529
831,인종/국가,1267887871538716674
832,인종/국가,1268399322405588993
833,인종/국가,1266886399094960128
834,인종/국가,1268756445408882689
835,인종/국가,1267275223532855296
836,인종/국가,1266420296711471104
837,인종/국가,1267769534846386176
838,인종/국가,1269473928696619008
839,인종/국가,1291698835622772736
840,인종/국가,1271484719838793728
841,인종/국가,1266070819102310400
842,인종/국가,1268456647023714304
843,인종/국가,1267136754865209345
844,인종/국가,1268128051537141761
845,인종/국가,1268430602534977536
846,인종/국가,1269649515130220544
847,인종/국가,1291927962715971584
848,인종/국가,1267350777598578688
849,인종/국가,1291700155125645312
850,인종/국가,1291965862111395840
851,인종/국가,1291841316188545025
852,인종/국가,1291887053332865025
853,인종/국가,1291944811046432768
854,인종/국가,1291724356037382145
855,인종/국가,1291891606723784705
856,인종/국가,1291963823407038464
857,인종/국가,1291692308358815745
858,인종/국가,1291726966349914112
859,성정체성/성적지향,1367114925269651456
860,성정체성/성적지향,1367091421484773377
861,성정체성/성적지향,1367113829981724677
862,성정체성/성적지향,1367112055644295177
863,성정체성/성적지향,1367468164066406408
864,성정체성/성적지향,1371871565839671299
865,성정체성/성적지향,1367162418908991498
866,성정체성/성적지향,1367108004680663041
867,성정체성/성적지향,1367106315051433987
868,성정체성/성적지향,1424701355843756042
869,성정체성/성적지향,1367098675072131076
870,성정체성/성적지향,1367141170955001858
871,성정체성/성적지향,1367080791860080647
872,성정체성/성적지향,1367295597535895552
873,성정체성/성적지향,1426150772513804291
874,성정체성/성적지향,1367112252793360384
875,성정체성/성적지향,1446117294715801601
876,성정체성/성적지향,1367109388431814661
877,성정체성/성적지향,1367101682723684356
878,성정체성/성적지향,1367148381173211136
879,성정체성/성적지향,1367124857285058561
880,성정체성/성적지향,1367106741742149642
881,성정체성/성적지향,1367519099102793731
882,성정체성/성적지향,1367268959435722753
883,성정체성/성적지향,1367103823496372229
884,성정체성/성적지향,1367083698265288709
885,성정체성/성적지향,1367656698702307329
886,성정체성/성적지향,1367092074621771786
887,성별,1368828263414464512
888,성별,1368771681913688065
889,성별,1368579334932373504
890,성별,1368583249757302788
891,성별,1368894115673350146
892,성별,1368807426351276032
893,성별,1368589225117900804
894,성별,1368587531210551298
895,성별,1368864555821002752
896,성별,1368855356034670594
897,성별,1368716952223379460
898,성별,1368807870737780739
899,성별,1368724550402248709
900,성별,1368851820257275904
901,성별,1368847654487162880
902,성별,1368754156614287363
903,성별,1368867136546869257
904,성별,1368584835690684421
905,성별,1368696651028688899
906,성별,1369056462836625408
907,성별,1368693103054315522
908,성별,1368586341617868802
909,성별,1368704462148136960
910,성별,1368707291512332291
911,성별,1368739740632055811
912,성별,1368584294550052864
913,성별,1368716738456481792
914,성별,1368846732822335488
915,성별,1368752758866644993
916,성별,1368841859619901440
917,성별,1368746892973146112
918,성별,1368712530084859905
919,성별,1368770161331761153
920,성별,1370655556784979968
921,성별,1368715978259894273
922,성별,1368587125759746066
923,성별,1368829279178395648
924,성별,1368732052732833796
925,성별,1368629831273914373
926,성별,1368758152229875713
927,성별,1368826820607406082
928,성별,1368749002980663297
929,성별,1368721114315165698
